customer_id	first_name	last_name	email	date_of_birth	phone	address	country	registration_date
32590810	Laurence	Robert	laurencerobert@tiscali.fr	10/18/1941	+33 (0)4 79 53 84 79	44, rue Charlotte Pasquier, 77536 Raynauddan	France	12/22/2013
20004814	Elliot	Kaur	ekaur@gmail.com	03/04/1940	+44191 496 0262	89 Johnston pine, Smithshire, N96 7HA	United Kingdom	10/27/2015
79491969	Milan	Jakovac	milan-jakovac9@gmail.com	07/12/1992	022 378 469	Tkalčićeva 0, 33065 Pazin	Croatia	11/18/2017
29044275	Ερμής	Τσέας	tseasermis29@gmail.com	08/20/1945	2106483129	Κατταβίας 7,, 483 68 Χανιά	Greece	07/02/2022
22949239	Tomás	Cárdenas	t-cardenas8@gmail.com	04/21/2006	+56 55 334 4520	Ruta 5 Norte, km 277	Chile	11/27/2024
82920734	Bruno	Galica	brunogalica8@onet.pl	02/07/1980	509 983 312	aleja Popiełuszki 370, 98-809 Katowice	Poland	04/27/2022
68845503	Claire	Mason	claire.mason@hotmail.com	09/09/1958	0141 4960367	Studio 4, Louis hill, Reeston, M5G 7DJ	United Kingdom	11/08/2006
74074266	Erika	Beneš	beneserika@gmail.com	12/11/1966	00420 703 841 850	Petřínská 76, 174 94 Valašské Klobouky	Czech Republic	12/01/2006
12594803	Laura	Watson	watson-l32@hotmail.co.uk	08/03/1950	(0117) 4960237	Flat 01u, Gregory ports, Sandraborough, CF9X 7GG	United Kingdom	04/26/2024
33223913	Mətanət	Qurbanlı	metanetqurbanli2@yahoo.com	06/09/1986	012 518 24 16	Neftçala rayonu, V.PLOTNİKOV pr., b. 2, m. 0	Azerbaijan	03/11/2017
80483191	Gelu	Tabacu	gelu-tabacu@acasa.ro	06/23/1953	0233 342 535	Soseaua Stănescu, Poiana Mare, 144687	Romania	12/07/2007
40045963	Carl	Persson	carlpersson@gmail.com	11/14/1995	+46 (0)821 831 87	Gengatan 3, 82151 Sundsvall	Sweden	02/10/2014
66245994	Valerie	Alexander	valerie-alexander6@hotmail.com	12/24/2003	990-448-8336x28363	USNV Brady, FPO AE 96423	United States	05/15/2022
45342477	Ashley	Morris	morris-ashley@gmail.com	12/11/1944	5314451202	7346 Yoder Ports, South Christopherstad, GU 92758	United States	12/31/2005
